domain,english,igbo
transportation,Ada travelled to Abuja.,Ada gara Abuja.
weather,The storm always is changing. now.,oke ifufe na-agbanwe.
agriculture,cassava really grows well. carefully.,akpụ na-eto nke ọma.
transportation,David boarded a car.,David banyere ụgbọala.
food,Tomorrow cassava often tastes good. immediately.,akpụ na-atọ ụtọ.
general,Please Ada has very a bag. now.,Ada nwere akpa.
weather,Please Obinna likes sometimes the rain. carefully.,Obinna hụrụ mmiri ozuzo n'anya.
health,Quickly The really doctor treated malaria. now.,Dọkịta gwọrọ iba.
business,Today Chioma really bought egg. today.,Chioma zụtara akwa.
business,Peter bought yam.,Peter zụtara ji.
general,Chinedu lives in Enugu.,Chinedu bi na Enugu.
health,David has fever.,David nwere ahụ ọkụ.
general,Quickly Obinna often is a nurse. immediately.,Obinna bụ nọọsụ.
technology,Now Chioma uses a internet. carefully.,Chioma na-eji ịntanet.
business,Mary bought meat.,Mary zụtara anụ.
health,The doctor treated typhoid.,Dọkịta gwọrọ taịfọd.
government,Kindly The election announced really a meeting. now.,ntuli aka kwupụtara nzukọ.
business,Chinedu sold the table.,Chinedu rere tebụl.
health,Now Chioma really has typhoid. again.,Chioma nwere taịfọd.
education,The sometimes school is open. again.,ụlọ akwụkwọ meghere.
government,Please Chinedu met really the governor. now.,Chinedu zutere gọvanọ.
weather,Today Mary likes sometimes the sun.,Mary hụrụ anwụ n'anya.
general,Peter will learn tomorrow.,Peter ga mụ echi.
general,The computer is new.,kọmputa ahụ dị ọhụrụ.
business,Tomorrow The very trader visited Enugu. now.,Onye ahịa gara Enugu.
food,David ate egg.,David riri akwa.
government,David met sometimes the president. immediately.,David zutere onye isi ala.
technology,Kindly The database really is new.,ụlọ nchekwa data ahụ dị ọhụrụ.
business,Chinedu bought rice.,Chinedu zụtara osikapa.
general,John always works well.,John na-arụ ọrụ nke ọma.
general,Grace lives in Enugu.,Grace bi na Enugu.
food,Now Chioma ate beans. immediately.,Chioma riri agwa.
technology,David repaired very the hardware. carefully.,David rụziri họdụwia.
transportation,Quickly The motorcycle often arrived early. again.,ọkada rutere n'oge.
technology,Tomorrow The often mouse is new.,maụs ahụ dị ọhụrụ.
business,Chioma often bought soup.,Chioma zụtara ofe.
education,Now Every doctor really needs education. carefully.,dọkịta niile chọrọ agụmakwụkwọ.
technology,Mary repaired the website.,Mary rụziri weebụsaịtị.
general,Please Obinna very lives in Kano. today.,Obinna bi na Kano.
food,Kindly David very ate yam. today.,David riri ji.
weather,Now There is very sun today. immediately.,anwụ dị taa.
general,Today Chioma works carefully. now.,Chioma na-arụ ọrụ nlezianya.
agriculture,Kindly The farmer planted yam. now.,Onye ọrụ ugbo kụrụ ji.
agriculture,Kindly The farmer often planted cassava. carefully.,Onye ọrụ ugbo kụrụ akpụ.
health,Now John visited the often hospital today.,John gara ụlọ ọgwụ taa.
food,Now Obinna very ate egg. immediately.,Obinna riri akwa.
health,Now The doctor treated cholera. carefully.,Dọkịta gwọrọ kọlera.
health,Quickly The often doctor treated typhoid.,Dọkịta gwọrọ taịfọd.
health,Quickly Ada really has fever. again.,Ada nwere ahụ ọkụ.
general,The table is new.,tebụl ahụ dị ọhụrụ.
agriculture,Mary harvested cassava.,Mary kpọrọ akpụ.
business,Kindly The trader very visited Enugu. again.,Onye ahịa gara Enugu.
business,Today Mary very sold the bag. again.,Mary rere akpa.
food,Now Chioma really cooked soup. immediately.,Chioma siri ofe.
food,Now bread really tastes good. again.,achịcha na-atọ ụtọ.
education,Tomorrow Obinna really studies in the school. immediately.,Obinna na-amụ na ụlọ akwụkwọ.
health,John always visited the hospital today. now.,John gara ụlọ ọgwụ taa.
food,Emeka cooked bread.,Emeka siri achịcha.
transportation,David travelled to Abuja.,David gara Abuja.
technology,Ada uses a computer.,Ada na-eji kọmputa.
technology,Now Emeka repaired the software. immediately.,Emeka rụziri sọftụwia.
technology,Please Emeka really uses a website. immediately.,Emeka na-eji weebụsaịtị.
health,David visited the hospital today.,David gara ụlọ ọgwụ taa.
agriculture,Today The farmer always planted cassava. immediately.,Onye ọrụ ugbo kụrụ akpụ.
agriculture,rice sometimes grows well.,osikapa na-eto nke ọma.
food,Quickly Ada always cooked meat. now.,Ada siri anụ.
technology,Quickly Mary repaired sometimes the database.,Mary rụziri ụlọ nchekwa data.
agriculture,Tomorrow The always farmer planted vegetable. immediately.,Onye ọrụ ugbo kụrụ akwukwo nri.
business,Quickly The trader really visited Enugu.,Onye ahịa gara Enugu.
transportation,Today The airport always arrived early.,ọdụ ụgbọ elu rutere n'oge.
food,Mary cooked garri.,Mary siri garri.
business,Please Chioma really bought soup. again.,Chioma zụtara ofe.
technology,Tomorrow The keyboard really is new.,kiibọdụ ahụ dị ọhụrụ.
agriculture,Please cassava very grows well. again.,akpụ na-eto nke ọma.
health,Quickly Ada visited very the hospital today.,Ada gara ụlọ ọgwụ taa.
weather,Quickly The rain sometimes is changing. now.,mmiri ozuzo na-agbanwe.
agriculture,Emeka very harvested rice. today.,Emeka kpọrọ osikapa.
government,Quickly The election sometimes was peaceful. carefully.,Ntuli aka gara nke ọma.
general,Chinedu often is a chef. today.,Chinedu bụ onye isi nri.
business,Tomorrow Emeka really bought rice. now.,Emeka zụtara osikapa.
transportation,Today Obinna boarded a airport. carefully.,Obinna banyere ọdụ ụgbọ elu.
general,Mary is a teacher.,Mary bụ onye nkuzi.
transportation,Tomorrow Peter very boarded a airport. carefully.,Peter banyere ọdụ ụgbọ elu.
government,The election always was peaceful. immediately.,Ntuli aka gara nke ọma.
technology,Ada uses a database.,Ada na-eji ụlọ nchekwa data.
government,Please David met always the election.,David zutere ntuli aka.
government,Quickly The very election was peaceful. today.,Ntuli aka gara nke ọma.
agriculture,Chioma harvested cocoyam.,Chioma kpọrọ ede.
business,Quickly The always trader visited Kano. immediately.,Onye ahịa gara Kano.
education,Every always electrician needs education.,onye ọkụ eletrik niile chọrọ agụmakwụkwọ.
technology,Now Emeka uses a website. again.,Emeka na-eji weebụsaịtị.
general,Kindly John sometimes is a tailor. today.,John bụ onye akwa.
food,garri always tastes good. now.,garri na-atọ ụtọ.
government,Kindly The election very was peaceful. carefully.,Ntuli aka gara nke ọma.
government,Ada met the election.,Ada zutere ntuli aka.
food,Please Chioma often cooked bread. immediately.,Chioma siri achịcha.
health,Obinna visited the hospital today.,Obinna gara ụlọ ọgwụ taa.
general,Quickly Peter is always a student. today.,Peter bụ nwata akwụkwọ.
agriculture,The farmer planted yam.,Onye ọrụ ugbo kụrụ ji.
education,Now Every really soldier needs education. carefully.,onye agha niile chọrọ agụmakwụkwọ.
transportation,Tomorrow The airport sometimes arrived early. immediately.,ọdụ ụgbọ elu rutere n'oge.
weather,Today The rain very is changing. again.,mmiri ozuzo na-agbanwe.
general,Chioma is always a doctor. carefully.,Chioma bụ dọkịta.
food,Today Mary always cooked egg. carefully.,Mary siri akwa.
weather,Mary likes the weather.,Mary hụrụ ihu igwe n'anya.
food,David cooked fish.,David siri azụ.
general,Now Mary really has a table. again.,Mary nwere tebụl.
technology,Today The database very is new.,ụlọ nchekwa data ahụ dị ọhụrụ.
weather,Please Obinna often likes the sun. immediately.,Obinna hụrụ anwụ n'anya.
weather,Today The rain is changing. carefully.,mmiri ozuzo na-agbanwe.
government,Emeka met the minister.,Emeka zutere mịnista.
technology,Quickly Chioma uses always a computer. today.,Chioma na-eji kọmputa.
agriculture,tomato often grows well.,tomato na-eto nke ọma.
technology,Chioma repaired the internet.,Chioma rụziri ịntanet.
general,Today The really car is big. again.,ụgbọala ahụ dị ukwu.
health,Emeka often has typhoid. immediately.,Emeka nwere taịfọd.
agriculture,Today rice really grows well. now.,osikapa na-eto nke ọma.
government,The election was peaceful. today.,Ntuli aka gara nke ọma.
transportation,Grace travelled to Onitsha.,Grace gara Ọnịcha.
transportation,The bicycle arrived early.,igwe kwụ otu ebe rutere n'oge.
health,Today Chinedu really has diabetes. again.,Chinedu nwere shuga.
weather,Kindly Ada always likes the storm. immediately.,Ada hụrụ oke ifufe n'anya.
general,Peter is sometimes a mechanic. now.,Peter bụ onye nrụzi ụgbọala.
agriculture,The farmer planted rice.,Onye ọrụ ugbo kụrụ osikapa.
food,Please Grace often cooked garri. now.,Grace siri garri.
agriculture,Tomorrow The really farmer planted rice. again.,Onye ọrụ ugbo kụrụ osikapa.
transportation,Kindly Ada sometimes boarded a motorcycle. carefully.,Ada banyere ọkada.
business,Obinna bought yam.,Obinna zụtara ji.
general,Kindly Chinedu really works quickly. carefully.,Chinedu na-arụ ọrụ ngwa ngwa.
food,Grace ate yam.,Grace riri ji.
weather,Quickly The often wind is changing. immediately.,ifufe na-agbanwe.
business,Chioma sold the table.,Chioma rere tebụl.
food,Tomorrow bread tastes good. immediately.,achịcha na-atọ ụtọ.
general,Mary works slowly.,Mary na-arụ ọrụ nwayọọ.
general,Today Chinedu has really a chair. again.,Chinedu nwere oche.
weather,Emeka likes the storm.,Emeka hụrụ oke ifufe n'anya.
transportation,Kindly The motorcycle always arrived early. now.,ọkada rutere n'oge.
education,Grace studies in the classroom.,Grace na-amụ na ụlọ klas.
weather,Today There is wind today. now.,ifufe dị taa.
food,Now garri always tastes good.,garri na-atọ ụtọ.
education,Now John always studies in the examination. carefully.,John na-amụ na ule.
education,Please Peter studies in really the library. carefully.,Peter na-amụ na ọba akwụkwọ.
transportation,Obinna travelled to Abuja.,Obinna gara Abuja.
business,Peter sold the bag.,Peter rere akpa.
general,The bag is small.,akpa ahụ dị obere.
agriculture,Ada harvested cassava.,Ada kpọrọ akpụ.
agriculture,Grace harvested cassava.,Grace kpọrọ akpụ.
food,Quickly Grace really cooked meat.,Grace siri anụ.
health,Quickly Obinna visited really the hospital today. again.,Obinna gara ụlọ ọgwụ taa.
agriculture,Quickly David harvested rice. today.,David kpọrọ osikapa.
general,Grace lives in Onitsha.,Grace bi na Ọnịcha.
weather,Tomorrow The storm is changing. now.,oke ifufe na-agbanwe.
food,Ada ate soup.,Ada riri ofe.
technology,The software is new.,sọftụwia ahụ dị ọhụrụ.
agriculture,cocoyam grows well.,ede na-eto nke ọma.
food,Mary ate bread.,Mary riri achịcha.
