domain,english,igbo
general,Mary has a computer.,Mary nwere kọmputa.
general,Mary has really a computer. today.,Mary nwere kọmputa.
weather,The sun is changing.,anwụ na-agbanwe.
weather,Please The always sun is changing. immediately.,anwụ na-agbanwe.
government,John met the election.,John zutere ntuli aka.
government,Now John met very the election. again.,John zutere ntuli aka.
agriculture,Mary harvested rice.,Mary kpọrọ osikapa.
agriculture,Kindly Mary really harvested rice. now.,Mary kpọrọ osikapa.
health,The doctor treated flu.,Dọkịta gwọrọ oyi.
health,Quickly The sometimes doctor treated flu. immediately.,Dọkịta gwọrọ oyi.
government,Quickly The always election was peaceful. now.,Ntuli aka gara nke ọma.
education,Every mechanic needs education.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
education,Every mechanic sometimes needs education.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
food,cassava tastes good.,akpụ na-atọ ụtọ.
food,Today cassava always tastes good. today.,akpụ na-atọ ụtọ.
agriculture,The farmer planted rice.,Onye ọrụ ugbo kụrụ osikapa.
agriculture,Today The farmer very planted rice. again.,Onye ọrụ ugbo kụrụ osikapa.
technology,Peter uses a computer.,Peter na-eji kọmputa.
technology,Peter often uses a computer. immediately.,Peter na-eji kọmputa.
government,The government announced a meeting.,gọọmenti kwupụtara nzukọ.
government,Today The very government announced a meeting. carefully.,gọọmenti kwupụtara nzukọ.
education,Mary studies in the assignment.,Mary na-amụ na ọrụ ụlọ.
education,Today Mary studies in really the assignment. now.,Mary na-amụ na ọrụ ụlọ.
transportation,Grace travelled to Owerri.,Grace gara Owerri.
transportation,Now Grace travelled often to Owerri.,Grace gara Owerri.
education,The teacher is open.,onye nkuzi meghere.
education,Tomorrow The always teacher is open. now.,onye nkuzi meghere.
weather,Chioma likes the rain.,Chioma hụrụ mmiri ozuzo n'anya.
weather,Please Chioma likes often the rain. again.,Chioma hụrụ mmiri ozuzo n'anya.
technology,Peter repaired the website.,Peter rụziri weebụsaịtị.
technology,Please Peter always repaired the website. today.,Peter rụziri weebụsaịtị.
transportation,David boarded a bus.,David banyere bọs.
transportation,Quickly David boarded often a bus. today.,David banyere bọs.
agriculture,The farmer planted cassava.,Onye ọrụ ugbo kụrụ akpụ.
agriculture,The farmer always planted cassava. today.,Onye ọrụ ugbo kụrụ akpụ.
weather,Quickly The often sun is changing. again.,anwụ na-agbanwe.
business,Emeka bought bread.,Emeka zụtara achịcha.
business,Quickly Emeka really bought bread. carefully.,Emeka zụtara achịcha.
weather,Ada likes the cloud.,Ada hụrụ igwe ojii n'anya.
weather,Please Ada likes sometimes the cloud. now.,Ada hụrụ igwe ojii n'anya.
health,David visited the hospital today.,David gara ụlọ ọgwụ taa.
health,Now David visited the really hospital today. now.,David gara ụlọ ọgwụ taa.
food,Peter cooked fish.,Peter siri azụ.
food,Peter really cooked fish. again.,Peter siri azụ.
food,fish tastes good.,azụ na-atọ ụtọ.
food,Quickly fish sometimes tastes good. immediately.,azụ na-atọ ụtọ.
transportation,Obinna boarded a car.,Obinna banyere ụgbọala.
transportation,Tomorrow Obinna boarded really a car. again.,Obinna banyere ụgbọala.
agriculture,Please The farmer planted cassava. today.,Onye ọrụ ugbo kụrụ akpụ.
business,Grace bought rice.,Grace zụtara osikapa.
business,Kindly Grace often bought rice. today.,Grace zụtara osikapa.
general,Peter will learn tomorrow.,Peter ga mụ echi.
general,Today Peter will learn tomorrow. now.,Peter ga mụ echi.
government,Kindly The election really was peaceful.,Ntuli aka gara nke ọma.
agriculture,yam grows well.,ji na-eto nke ọma.
agriculture,Now yam very grows well. now.,ji na-eto nke ọma.
agriculture,Emeka harvested cocoyam.,Emeka kpọrọ ede.
agriculture,Today Emeka harvested cocoyam. again.,Emeka kpọrọ ede.
education,Please The always library is open. now.,ọba akwụkwọ meghere.
general,David is a teacher.,David bụ onye nkuzi.
general,Now David is really a teacher. now.,David bụ onye nkuzi.
general,Obinna will sell tomorrow.,Obinna ga ree echi.
general,Today Obinna will always sell tomorrow. today.,Obinna ga ree echi.
agriculture,Peter harvested tomato.,Peter kpọrọ tomato.
agriculture,Tomorrow Peter often harvested tomato. immediately.,Peter kpọrọ tomato.
government,The minister announced a meeting.,mịnista kwupụtara nzukọ.
government,Now The minister very announced a meeting. carefully.,mịnista kwupụtara nzukọ.
government,The election announced a meeting.,ntuli aka kwupụtara nzukọ.
government,Kindly The election announced very a meeting. now.,ntuli aka kwupụtara nzukọ.
transportation,Emeka travelled to Lagos.,Emeka gara Lagos.
transportation,Now Emeka travelled really to Lagos. again.,Emeka gara Lagos.
weather,There is sun today.,anwụ dị taa.
weather,Kindly There is sometimes sun today. now.,anwụ dị taa.
education,The student is open.,nwa akwụkwọ meghere.
education,The student really is open. immediately.,nwa akwụkwọ meghere.
technology,Grace repaired the database.,Grace rụziri ụlọ nchekwa data.
technology,Grace always repaired the database. again.,Grace rụziri ụlọ nchekwa data.
weather,The rain is changing.,mmiri ozuzo na-agbanwe.
weather,The very rain is changing. immediately.,mmiri ozuzo na-agbanwe.
general,Chioma is a doctor.,Chioma bụ dọkịta.
general,Today Chioma often is a doctor. now.,Chioma bụ dọkịta.
food,beans tastes good.,agwa na-atọ ụtọ.
food,Now beans very tastes good. now.,agwa na-atọ ụtọ.
government,Obinna met the government.,Obinna zutere gọọmenti.
government,Quickly Obinna met sometimes the government. again.,Obinna zutere gọọmenti.
government,The election announced often a meeting. immediately.,ntuli aka kwupụtara nzukọ.
weather,Ada likes the weather.,Ada hụrụ ihu igwe n'anya.
weather,Tomorrow Ada sometimes likes the weather. carefully.,Ada hụrụ ihu igwe n'anya.
weather,Mary likes the sun.,Mary hụrụ anwụ n'anya.
weather,Please Mary likes often the sun. immediately.,Mary hụrụ anwụ n'anya.
weather,Please The wind is changing. carefully.,ifufe na-agbanwe.
technology,John repaired the software.,John rụziri sọftụwia.
technology,Please John repaired the software. carefully.,John rụziri sọftụwia.
business,Obinna sold the car.,Obinna rere ụgbọala.
business,Quickly Obinna sold the car. again.,Obinna rere ụgbọala.
business,Quickly The always trader visited Kano. immediately.,Onye ahịa gara Kano.
transportation,Tomorrow Grace very travelled to Onitsha. immediately.,Grace gara Ọnịcha.
agriculture,The farmer planted vegetable.,Onye ọrụ ugbo kụrụ akwukwo nri.
agriculture,Now The farmer planted vegetable.,Onye ọrụ ugbo kụrụ akwukwo nri.
food,Today meat really tastes good. today.,anụ na-atọ ụtọ.
government,The election very was peaceful. immediately.,Ntuli aka gara nke ọma.
transportation,Mary travelled to Owerri.,Mary gara Owerri.
transportation,Now Mary travelled often to Owerri.,Mary gara Owerri.
general,Ada works quickly.,Ada na-arụ ọrụ ngwa ngwa.
general,Quickly Ada always works quickly. now.,Ada na-arụ ọrụ ngwa ngwa.
weather,There is rain today.,mmiri ozuzo dị taa.
weather,Tomorrow There often is rain today. today.,mmiri ozuzo dị taa.
technology,Emeka uses a website.,Emeka na-eji weebụsaịtị.
technology,Kindly Emeka always uses a website. today.,Emeka na-eji weebụsaịtị.
food,Kindly yam really tastes good. again.,ji na-atọ ụtọ.
general,Peter works well.,Peter na-arụ ọrụ nke ọma.
general,Today Peter always works well. today.,Peter na-arụ ọrụ nke ọma.
education,Please The student always is open. again.,nwa akwụkwọ meghere.
technology,Ada uses a internet.,Ada na-eji ịntanet.
technology,Tomorrow Ada very uses a internet. now.,Ada na-eji ịntanet.
technology,Emeka repaired the software.,Emeka rụziri sọftụwia.
technology,Now Emeka repaired the software. immediately.,Emeka rụziri sọftụwia.
health,Chioma has typhoid.,Chioma nwere taịfọd.
health,Now Chioma really has typhoid. again.,Chioma nwere taịfọd.
general,Emeka is a mechanic.,Emeka bụ onye nrụzi ụgbọala.
general,Today Emeka always is a mechanic.,Emeka bụ onye nrụzi ụgbọala.
business,The trader visited Lagos.,Onye ahịa gara Lagos.
business,Now The trader really visited Lagos.,Onye ahịa gara Lagos.
government,Peter met the minister.,Peter zutere mịnista.
government,Please Peter met the minister. today.,Peter zutere mịnista.
education,Obinna studies in the library.,Obinna na-amụ na ọba akwụkwọ.
education,Kindly Obinna studies very in the library.,Obinna na-amụ na ọba akwụkwọ.
general,The computer is old.,kọmputa ahụ dị ochie.
general,Today The computer very is old. now.,kọmputa ahụ dị ochie.
business,The trader visited Abuja.,Onye ahịa gara Abuja.
business,Now The trader very visited Abuja. again.,Onye ahịa gara Abuja.
weather,Emeka likes the sun.,Emeka hụrụ anwụ n'anya.
weather,Now Emeka always likes the sun.,Emeka hụrụ anwụ n'anya.
business,Tomorrow The trader always visited Onitsha. now.,Onye ahịa gara Ọnịcha.
education,Quickly Every mechanic needs education.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
agriculture,maize grows well.,ọka na-eto nke ọma.
agriculture,Tomorrow maize sometimes grows well. immediately.,ọka na-eto nke ọma.
general,Grace is a doctor.,Grace bụ dọkịta.
general,Kindly Grace is a doctor. again.,Grace bụ dọkịta.
agriculture,Tomorrow The really farmer planted vegetable. immediately.,Onye ọrụ ugbo kụrụ akwukwo nri.
education,The assignment is open.,ọrụ ụlọ meghere.
education,Please The really assignment is open. immediately.,ọrụ ụlọ meghere.
general,Chinedu has a chair.,Chinedu nwere oche.
general,Today Chinedu has really a chair. again.,Chinedu nwere oche.
government,Chioma met the government.,Chioma zutere gọọmenti.
government,Now Chioma very met the government. now.,Chioma zutere gọọmenti.
agriculture,The farmer planted maize.,Onye ọrụ ugbo kụrụ ọka.
agriculture,Tomorrow The farmer often planted maize. immediately.,Onye ọrụ ugbo kụrụ ọka.
education,Every student needs education.,nwata akwụkwọ niile chọrọ agụmakwụkwọ.
education,Quickly Every student needs education. now.,nwata akwụkwọ niile chọrọ agụmakwụkwọ.
food,Chioma ate cassava.,Chioma riri akpụ.
food,Today Chioma always ate cassava.,Chioma riri akpụ.
health,Chioma has flu.,Chioma nwere oyi.
health,Please Chioma has flu.,Chioma nwere oyi.
food,Mary cooked yam.,Mary siri ji.
food,Please Mary often cooked yam.,Mary siri ji.
health,Obinna has cholera.,Obinna nwere kọlera.
health,Quickly Obinna really has cholera. today.,Obinna nwere kọlera.
general,Obinna is a nurse.,Obinna bụ nọọsụ.
general,Quickly Obinna often is a nurse. immediately.,Obinna bụ nọọsụ.
government,Grace met the president.,Grace zutere onye isi ala.
government,Grace met always the president. immediately.,Grace zutere onye isi ala.
technology,John repaired the computer.,John rụziri kọmputa.
technology,Now John repaired really the computer. now.,John rụziri kọmputa.
general,Ada works slowly.,Ada na-arụ ọrụ nwayọọ.
general,Tomorrow Ada often works slowly. now.,Ada na-arụ ọrụ nwayọọ.
government,Tomorrow The always election announced a meeting. today.,ntuli aka kwupụtara nzukọ.
technology,Quickly The software is new. again.,sọftụwia ahụ dị ọhụrụ.
general,John works carefully.,John na-arụ ọrụ nlezianya.
general,John very works carefully. now.,John na-arụ ọrụ nlezianya.
health,Emeka visited the hospital today.,Emeka gara ụlọ ọgwụ taa.
health,Today Emeka visited the hospital today. again.,Emeka gara ụlọ ọgwụ taa.
health,The doctor treated cholera.,Dọkịta gwọrọ kọlera.
health,Now The doctor treated cholera. carefully.,Dọkịta gwọrọ kọlera.
general,Peter will eat tomorrow.,Peter ga rie echi.
general,Quickly Peter always will eat tomorrow. carefully.,Peter ga rie echi.
food,Kindly rice really tastes good. again.,osikapa na-atọ ụtọ.
business,David sold the computer.,David rere kọmputa.
business,Please David sold the computer. immediately.,David rere kọmputa.
technology,John always repaired the computer. today.,John rụziri kọmputa.
general,Mary works well.,Mary na-arụ ọrụ nke ọma.
general,Now Mary really works well.,Mary na-arụ ọrụ nke ọma.
government,Quickly The election sometimes was peaceful. today.,Ntuli aka gara nke ọma.
weather,Obinna likes the cloud.,Obinna hụrụ igwe ojii n'anya.
weather,Now Obinna always likes the cloud.,Obinna hụrụ igwe ojii n'anya.
technology,Ada repaired the internet.,Ada rụziri ịntanet.
technology,Now Ada often repaired the internet. immediately.,Ada rụziri ịntanet.
health,Ada visited the hospital today.,Ada gara ụlọ ọgwụ taa.
health,Please Ada visited very the hospital today. carefully.,Ada gara ụlọ ọgwụ taa.
transportation,Peter travelled to Kano.,Peter gara Kano.
transportation,Tomorrow Peter travelled really to Kano. carefully.,Peter gara Kano.
health,David has flu.,David nwere oyi.
health,Please David has flu.,David nwere oyi.
weather,Now Obinna likes often the cloud. today.,Obinna hụrụ igwe ojii n'anya.
health,Today David visited really the hospital today. carefully.,David gara ụlọ ọgwụ taa.
weather,There is wind today.,ifufe dị taa.
weather,Quickly There is very wind today. immediately.,ifufe dị taa.
transportation,Chinedu boarded a motorcycle.,Chinedu banyere ọkada.
transportation,Today Chinedu very boarded a motorcycle. immediately.,Chinedu banyere ọkada.
health,Chioma has fever.,Chioma nwere ahụ ọkụ.
health,Please Chioma often has fever.,Chioma nwere ahụ ọkụ.
education,Emeka studies in the library.,Emeka na-amụ na ọba akwụkwọ.
education,Emeka studies in the library. today.,Emeka na-amụ na ọba akwụkwọ.
general,Chinedu will eat tomorrow.,Chinedu ga rie echi.
general,Chinedu will very eat tomorrow. immediately.,Chinedu ga rie echi.
general,Ada will learn tomorrow.,Ada ga mụ echi.
general,Now Ada will learn tomorrow. carefully.,Ada ga mụ echi.
government,The always election was peaceful. immediately.,Ntuli aka gara nke ọma.
business,Emeka bought soup.,Emeka zụtara ofe.
business,Now Emeka very bought soup. immediately.,Emeka zụtara ofe.
health,Ada has fever.,Ada nwere ahụ ọkụ.
health,Now Ada sometimes has fever. carefully.,Ada nwere ahụ ọkụ.
technology,Obinna repaired the database.,Obinna rụziri ụlọ nchekwa data.
technology,Kindly Obinna repaired very the database. immediately.,Obinna rụziri ụlọ nchekwa data.
agriculture,Today The farmer sometimes planted maize. today.,Onye ọrụ ugbo kụrụ ọka.
technology,Chioma uses a hardware.,Chioma na-eji họdụwia.
technology,Kindly Chioma very uses a hardware. today.,Chioma na-eji họdụwia.
health,Today The often doctor treated flu.,Dọkịta gwọrọ oyi.
transportation,The motorcycle arrived early.,ọkada rutere n'oge.
transportation,Quickly The motorcycle often arrived early. again.,ọkada rutere n'oge.
general,The bag is old.,akpa ahụ dị ochie.
general,Tomorrow The often bag is old. carefully.,akpa ahụ dị ochie.
government,David met the minister.,David zutere mịnista.
government,David met often the minister. today.,David zutere mịnista.
health,Now The doctor treated typhoid. immediately.,Dọkịta gwọrọ taịfọd.
food,Emeka cooked garri.,Emeka siri garri.
food,Emeka really cooked garri. again.,Emeka siri garri.
health,The doctor really treated typhoid. carefully.,Dọkịta gwọrọ taịfọd.
business,Kindly The sometimes trader visited Enugu. now.,Onye ahịa gara Enugu.
general,Chioma works quickly.,Chioma na-arụ ọrụ ngwa ngwa.
general,Today Chioma sometimes works quickly. today.,Chioma na-arụ ọrụ ngwa ngwa.
business,Peter bought egg.,Peter zụtara akwa.
business,Today Peter sometimes bought egg. carefully.,Peter zụtara akwa.
business,Now David sold the computer. today.,David rere kọmputa.
food,Obinna cooked rice.,Obinna siri osikapa.
food,Please Obinna always cooked rice.,Obinna siri osikapa.
general,The table is big.,tebụl ahụ dị ukwu.
general,Quickly The often table is big.,tebụl ahụ dị ukwu.
food,Quickly meat often tastes good. now.,anụ na-atọ ụtọ.
general,Chinedu lives in Enugu.,Chinedu bi na Enugu.
general,Chinedu always lives in Enugu. now.,Chinedu bi na Enugu.
government,Tomorrow The often election was peaceful. carefully.,Ntuli aka gara nke ọma.
technology,Obinna uses a database.,Obinna na-eji ụlọ nchekwa data.
technology,Quickly Obinna uses very a database.,Obinna na-eji ụlọ nchekwa data.
education,Quickly Every really mechanic needs education. carefully.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
food,Obinna ate soup.,Obinna riri ofe.
food,Now Obinna often ate soup. today.,Obinna riri ofe.
technology,Obinna uses a computer.,Obinna na-eji kọmputa.
technology,Please Obinna uses often a computer. carefully.,Obinna na-eji kọmputa.
technology,Peter repaired the software.,Peter rụziri sọftụwia.
technology,Kindly Peter often repaired the software. again.,Peter rụziri sọftụwia.
business,The trader visited Nigeria.,Onye ahịa gara Naịjirịa.
business,Quickly The trader very visited Nigeria. carefully.,Onye ahịa gara Naịjirịa.
business,Today The very trader visited Kano. again.,Onye ahịa gara Kano.
transportation,Kindly The motorcycle always arrived early. now.,ọkada rutere n'oge.
education,Mary studies in the student.,Mary na-amụ na nwa akwụkwọ.
education,Tomorrow Mary studies in always the student. now.,Mary na-amụ na nwa akwụkwọ.
general,Obinna lives in Abuja.,Obinna bi na Abuja.
general,Today Obinna lives sometimes in Abuja.,Obinna bi na Abuja.
weather,Today The storm very is changing. immediately.,oke ifufe na-agbanwe.
health,Mary visited the hospital today.,Mary gara ụlọ ọgwụ taa.
health,Kindly Mary really visited the hospital today. again.,Mary gara ụlọ ọgwụ taa.
education,The teacher is open. immediately.,onye nkuzi meghere.
technology,Obinna uses a mouse.,Obinna na-eji maụs.
technology,Kindly Obinna always uses a mouse. carefully.,Obinna na-eji maụs.
transportation,The car arrived early. today.,ụgbọala rutere n'oge.
government,The governor announced a meeting.,gọvanọ kwupụtara nzukọ.
government,Tomorrow The very governor announced a meeting. again.,gọvanọ kwupụtara nzukọ.
agriculture,cassava always grows well. today.,akpụ na-eto nke ọma.
weather,Today There very is sun today. now.,anwụ dị taa.
government,The senator announced a meeting.,senetọ kwupụtara nzukọ.
government,The senator announced a meeting. today.,senetọ kwupụtara nzukọ.
agriculture,Please The sometimes farmer planted rice. immediately.,Onye ọrụ ugbo kụrụ osikapa.
technology,Emeka uses a computer.,Emeka na-eji kọmputa.
technology,Tomorrow Emeka uses very a computer. again.,Emeka na-eji kọmputa.
technology,The mouse is new.,maụs ahụ dị ọhụrụ.
technology,Tomorrow The often mouse is new.,maụs ahụ dị ọhụrụ.
agriculture,The farmer planted yam.,Onye ọrụ ugbo kụrụ ji.
agriculture,Today The really farmer planted yam. today.,Onye ọrụ ugbo kụrụ ji.
general,Obinna lives in Onitsha.,Obinna bi na Ọnịcha.
general,Today Obinna lives always in Onitsha. now.,Obinna bi na Ọnịcha.
agriculture,John harvested cocoyam.,John kpọrọ ede.
agriculture,John sometimes harvested cocoyam. carefully.,John kpọrọ ede.
health,Quickly Ada really has fever. again.,Ada nwere ahụ ọkụ.
technology,The hardware is new.,họdụwia ahụ dị ọhụrụ.
technology,Kindly The hardware sometimes is new. carefully.,họdụwia ahụ dị ọhụrụ.
business,Please The very trader visited Nigeria. today.,Onye ahịa gara Naịjirịa.
health,David has fever.,David nwere ahụ ọkụ.
health,David really has fever. now.,David nwere ahụ ọkụ.
government,The president announced a meeting.,onye isi ala kwupụtara nzukọ.
government,Tomorrow The president announced a meeting. today.,onye isi ala kwupụtara nzukọ.
