domain,english,igbo
health,Smoking is harmful to health.,Ịṅụ sịga na-emerụ ahụike.
health,Do not smoke.,Aṅụla sịga.
health,Do not drink dirty water.,Aṅụla mmiri ruru unyi.
health,The wound is healing.,Ọnya ahụ na-agwọ.
health,The wound is painful.,Ọnya ahụ na-afụ ụfụ.
health,He has a wound on his hand.,O nwere ọnya n'aka ya.
health,She hurt her leg.,Ọ merụrụ ụkwụ ya.
health,I hurt my arm.,Emerụrụ m aka m.
health,Be careful not to hurt yourself.,Kpachara anya ka ị ghara imerụ onwe gị ahụ.
health,The injury is serious.,Mmerụ ahụ dị njọ.
health,The injury is not serious.,Mmerụ ahụ adịghị njọ.
health,He broke his leg.,Ọ gbajiri ụkwụ ya.
health,She fell and hurt herself.,Ọ dara wee merụọ onwe ya ahụ.
health,The child fell down.,Nwa ahụ dara.
health,The pain is gone.,Ihe mgbu ahụ akwụsịla.
health,The pain is getting worse.,Ihe mgbu ahụ na-akawanye njọ.
health,The pain is getting better.,Ihe mgbu ahụ na-akawanye mma.
health,Where does it hurt?,Ebee ka ọ na-afụ?
health,When did the pain start?,Olee mgbe ihe mgbu ahụ malitere?
health,How long have you been sick?,Ogologo oge ole ka ị na-arịa ọrịa?
health,Are you feeling better?,Ahụ adịla gị mma?
health,Do you have a fever?,Ị nwere ahụ ọkụ?
health,Do you have any pain?,Ị nwere ihe mgbu?
health,Are you taking any medicine?,Ị na-aṅụ ọgwụ ọ bụla?
health,The child needs medical attention.,Nwa ahụ chọrọ nlekọta ahụike.
health,The baby is sleeping.,Nwa ọhụrụ ahụ na-arahụ ụra.
health,The baby is crying.,Nwa ọhụrụ ahụ na-ebe akwa.
health,The mother is taking care of the baby.,Nne ahụ na-elekọta nwa ọhụrụ ahụ.
health,The elderly man needs help.,Agadi nwoke ahụ chọrọ enyemaka.
health,The elderly woman is resting.,Agadi nwanyị ahụ na-ezu ike.
health,The ambulance arrived quickly.,Ụgbọ ala mberede ahụ rutere ngwa ngwa.
health,The hospital is far from here.,Ụlọ ọgwụ ahụ dị anya site ebe a.
health,The hospital is near my house.,Ụlọ ọgwụ ahụ dị nso n'ụlọ m.
health,The health centre is open today.,Ụlọ ahụike ahụ mepere taa.
health,We should protect our health.,Anyị kwesịrị ichekwa ahụike anyị.
health,Good health is important.,Ezi ahụike dị mkpa.
health,Prevention is better than treatment.,Mgbochi dị mma karịa ọgwụgwọ.
health,The doctor advised me to rest.,Dọkịta dụrụ m ọdụ ka m zuru ike.
health,The doctor advised him to drink more water.,Dọkịta dụrụ ya ọdụ ka ọ ṅụọ mmiri karịa.
health,The nurse gave the patient water.,Nọọsụ nyere onye ọrịa ahụ mmiri.
health,The patient drank the medicine.,Onye ọrịa ahụ ṅụrụ ọgwụ ahụ.
health,The patient recovered from the illness.,Onye ọrịa ahụ gbakere n'ọrịa ahụ.
health,She recovered quickly.,Ọ gbakere ngwa ngwa.
health,He is still sick.,Ọ ka na-arịa ọrịa.
health,The illness spread quickly.,Ọrịa ahụ gbasara ngwa ngwa.
health,We must keep the environment clean.,Anyị ga-edebe gburugburu ebe obibi ọcha.
health,Clean surroundings help prevent disease.,Gbasara ebe dị ọcha na-enyere aka igbochi ọrịa.
health,Get enough sleep every night.,Na-arahụ ụra nke ọma kwa abalị.
health,Take care of your health.,Lekọta ahụike gị.
