domain,english,igbo
agriculture,Modern tools make farming easier.,Ngwa ọrụ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.
agriculture,Farming provides food for families.,Ọrụ ugbo na-enye ezinụlọ nri.
agriculture,Farming is important to the community.,Ọrụ ugbo dị mkpa nye obodo.
agriculture,The farmer works hard every day.,Onye ọrụ ugbo na-arụsi ọrụ ike kwa ụbọchị.
agriculture,The farmer wakes up early.,Onye ọrụ ugbo na-eteta n'isi ụtụtụ.
agriculture,The farmer works until evening.,Onye ọrụ ugbo na-arụ ọrụ ruo mgbede.
agriculture,The farmer went to the farm yesterday.,Onye ọrụ ugbo gara n'ubi ụnyaahụ.
agriculture,The farmer will go to the farm tomorrow.,Onye ọrụ ugbo ga-aga n'ubi echi.
agriculture,The farmer planted maize yesterday.,Onye ọrụ ugbo kụrụ ọka ụnyaahụ.
agriculture,The farmer planted yam last week.,Onye ọrụ ugbo kụrụ ji n'izu gara aga.
agriculture,The farmer will harvest the crops soon.,Onye ọrụ ugbo ga-ewe ihe ubi n'oge na-adịghị anya.
agriculture,The farmer is preparing for the planting season.,Onye ọrụ ugbo na-akwado maka oge ịkụ ihe ọkụkụ.
agriculture,The planting season has started.,Oge ịkụ ihe ọkụkụ amalitela.
agriculture,The harvest season has started.,Oge owuwe ihe ubi amalitela.
agriculture,The farmer is waiting for the rain.,Onye ọrụ ugbo na-eche mmiri ozuzo.
agriculture,The farmer checks the weather before planting.,Onye ọrụ ugbo na-enyocha ihu igwe tupu ọ kụọ ihe ọkụkụ.
agriculture,The farmer plans the work carefully.,Onye ọrụ ugbo na-eme atụmatụ ọrụ ahụ nke ọma.
agriculture,The farm produced a good harvest.,Ubi ahụ nyere ezigbo owuwe ihe ubi.
agriculture,The harvest was very large.,Owuwe ihe ubi ahụ buru nnọọ ibu.
agriculture,The harvest was poor this year.,Owuwe ihe ubi ahụ adịghị mma n'afọ a.
agriculture,The farmer sold the harvest.,Onye ọrụ ugbo rere owuwe ihe ubi ahụ.
agriculture,The farmer saved some seeds for next season.,Onye ọrụ ugbo chekwara ụfọdụ mkpụrụ maka oge ọzọ.
agriculture,The farmer teaches his children farming.,Onye ọrụ ugbo na-akụziri ụmụ ya ọrụ ugbo.
