domain,english,igbo
general,What happened?,Gịnị mere?
general,Nothing happened.,Ọ dịghị ihe mere.
general,Are you ready?,Ị dị njikere?
general,I am ready.,Adị m njikere.
general,Wait for me.,Chere m.
general,Follow me.,Soro m.
general,Come with me.,Soro m bịa.
general,Go ahead.,Gaa n'ihu.
general,Be careful.,Kpachara anya.
general,Do not worry.,Echegbula onwe gị.
general,I am sorry.,Ọ dị m nwute.
general,Excuse me.,Biko.
general,It is okay.,Ọ dị mma.
general,Everything is fine.,Ihe niile dị mma.
general,I am happy.,Obi dị m ụtọ.
general,I am tired.,Ike gwụrụ m.
general,I am hungry.,Agụụ na-agụ m.
general,I am thirsty.,Akpịrị na-akpọ m nkụ.
general,I am busy.,Ana m arụ ọrụ.
general,I am free now.,Enwere m ohere ugbu a.
general,What time is it?,Kedu oge ọ bụ?
general,It is morning.,Ọ bụ ụtụtụ.
general,It is afternoon.,Ọ bụ ehihie.
general,It is evening.,Ọ bụ mgbede.
general,Today is a good day.,Taa bụ ụbọchị ọma.
general,Tomorrow is another day.,Echi bụ ụbọchị ọzọ.
general,Today is Monday.,Taa bụ Mọnde.
general,Today is Tuesday.,Taa bụ Tuzdee.
general,Today is Wednesday.,Taa bụ Wenezdee.
general,Today is Thursday.,Taa bụ Tọọzdee.
general,Today is Friday.,Taa bụ Fraịdee.
general,Today is Saturday.,Taa bụ Satọdee.
general,Today is Sunday.,Taa bụ Sọnde.
general,I like this.,Ọ masịrị m nke a.
general,I do not like this.,Ọ masịghị m nke a.
general,I need help.,Achọrọ m enyemaka.
general,Can you help me?,Ị nwere ike inyere m aka?
general,I can help you.,Enwere m ike inyere gị aka.
general,Let us go.,Ka anyị gaa.
general,Let us start.,Ka anyị bido.
general,Let us continue.,Ka anyị gaa n'ihu.
general,What do you need?,Gịnị ka ị chọrọ?
general,I need water.,Achọrọ m mmiri.
general,I need food.,Achọrọ m nri.
general,I need money.,Achọrọ m ego.
general,Where is the bathroom?,Ebee ka ụlọ mposi dị?
general,Where is the road?,Ebee ka ụzọ dị?
general,Where is the market?,Ebee ka ahịa dị?
general,Where is the school?,Ebee ka ụlọ akwụkwọ dị?
general,The place is near.,Ebe ahụ dị nso.
general,The place is far.,Ebe ahụ dị anya.
general,Come here.,Bịa ebe a.
general,Go there.,Gaa ebe ahụ.
general,Look at this.,Lee nke a.
general,Look at that.,Lee nke ahụ.
general,Open the door.,Mepee ụzọ.
general,Close the door.,Mechie ụzọ.
general,Turn on the light.,Gbanye ọkụ.
general,Turn off the light.,Gbanyụọ ọkụ.
general,Give me the book.,Nye m akwụkwọ ahụ.
general,Take this.,Were nke a.
general,Bring the water.,Weta mmiri ahụ.
general,Put it here.,Tinye ya ebe a.
general,Do not touch it.,Emetụla ya aka.
general,Do not go there.,Agala ebe ahụ.
general,Do not forget.,Echefukwala.
general,Remember this.,Cheta nke a.
general,What do you think?,Gịnị ka ị na-eche?
general,I think it is good.,Echere m na ọ dị mma.
general,I agree with you.,Ekwenyere m na gị.
general,I do not agree.,Ekwetaghị m.
general,That is a good idea.,Nke ahụ bụ ezigbo echiche.
general,That is a bad idea.,Nke ahụ bụ echiche ọjọọ.
general,It is important.,Ọ dị mkpa.
general,It is not important.,Ọ dịghị mkpa.
general,Everything is ready.,Ihe niile adịla njikere.
general,The work is finished.,Ọrụ ahụ agwụla.
general,I will come back.,Aga m alọghachi.
general,I will call you.,Aga m akpọ gị.
general,Call me later.,Kpọọ m ma emechaa.
general,Send me a message.,Zigara m ozi.
general,I received your message.,Enwetara m ozi gị.
general,What is the problem?,Gịnị bụ nsogbu ahụ?
general,There is no problem.,Nsogbu adịghị.
general,The problem is serious.,Nsogbu ahụ dị njọ.
general,We need a solution.,Anyị chọrọ ihe ngwọta.
general,Everything will be fine.,Ihe niile ga-adị mma.
